Designator,Mid X,Mid Y,Rotation,Layer
C1,101.575,-103.9,270.0,top
C10,139.95,-81.25,180.0,top
C13,144.075,-84.825,0.0,top
C14,143.7,-86.225,180.0,top
C17,147.6,-105.225,90.0,top
C2,115.275,-96.4,0.0,top
C4,100.55,-89.525,0.0,top
C5,116.675,-89.6,0.0,top
C6,115.15,-92.65,90.0,top
C9,135.725,-82.5,90.0,top
D1,108.95,-86.8,0.0,top
D2,122.3675,-110.025,0.0,top
D3,106.2,-80.2,180.0,top
D4,122.8,-87.3,180.0,top
D5,130.95,-110.025,0.0,top
D6,113.825,-110.025,0.0,top
FID1,128.625,-97.275,0.0,top
FID2,96.65,-89.4,0.0,top
FID3,100.825,-108.925,0.0,top
IC3,139.4,-84.25,0.0,top
IC5,120.425,-91.35,0.0,top
J1,122.05,-105.8,90.0,bottom
J2,144.4,-105.3,270.0,bottom
J3,107.090218,-90.539968,180.0,top
J4,115.58,-85.0,180.0,top
Q1,102.962,-99.95,270.0,top
Q2,129.15,-88.1,270.0,top
R1,125.225,-110.025,0.0,top
R10,105.425,-82.4,270.0,top
R11,131.65,-87.825,90.0,top
R12,136.075,-85.25,180.0,top
R13,123.75,-90.075,90.0,top
R14,100.225,-103.925,270.0,top
R15,106.95,-108.25,270.0,top
R16,137.65,-108.2,270.0,top
R17,100.25,-98.575,90.0,top
R18,141.1,-104.6,90.0,top
R19,142.4,-104.6,90.0,top
R2,134.075,-110.025,180.0,top
R20,145.45,-105.175,270.0,top
R3,116.875,-110.025,180.0,top
R4,105.325,-99.95,90.0,top
R5,100.225,-101.25,270.0,top
R6,107.05,-95.95,180.0,top
R7,107.025,-94.675,0.0,top
R8,122.55,-79.85,0.0,top
R9,109.5,-80.9,90.0,top
S1,129.15,-80.55,180.0,top
SW1,114.27,-105.7,0.0,top
SW2,130.18,-105.7,0.0,top
U1,139.14,-94.32,270.0,top
U2,110.9,-96.275,180.0,top
U3,100.55,-87.05,270.0,top
